Journal,Title,Abstract,Authors,Tax_Title_Count,Tax_Title_Binary,Tax_Abstract_Count,Tax_Abstract_Binary,Tax_Total_Count,Tax_Total_Binary,Retirement_Title_Count,Retirement_Title_Binary,Retirement_Abstract_Count,Retirement_Abstract_Binary,Retirement_Total_Count,Retirmement_Total_Binary,Client_Title_Count,Client_Title_Binary,Client_Abstract_Count,Client_Abstract_Binary,Client_Total_Count,Client_Total_Binary,CFP_Count,CFP_Binary,PhD_Count,PhD_Binary,CFA_Count,CFA_Binary,JD_Count,JD_Binary,CPA_Count,CPA_Binary,CLU_Count,CLU_Binary,ChFC_Count,ChFC_Binary,LLM_Count,LLM_Binary,AIF_Count,AIF_Binary,CRC_Count,CRC_Binary,pubdate,year
JFP,Seeking Nirvana Amidst Chaos,"Buddhism teaches that the only constant in life is change. The last year is a testament to that. Despite how well some people felt they had everything in order, the pandemic showed us that you need to always be ready for disruptions. That alone has changed the entire nature of work for many, including financial planners. There are many challenges, and opportunities, that financial planners will face going forward, and embracing technology will play a central role. A demographic shift is coming as Millennials, born between 1981 and 1996, are rapidly becoming the generation to focus on. Today, Millennials range from ages 25 to 40. There has been a sharp rise of fee-only advisers, and for good reason. There is a poignant distrust of the financial industry as Millennials have lived through two ""once-in-a-lifetime"" recessions.","Cummings, Bridger",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21-Dec,2021
JFP,Tax Considerations for Relatively Wealthy Households,"Reichenstein talks about households whose income places them beyond the end of the tax torpedo, which is where they pay taxes on 85 percent of their Social Security benefits, which is the maximum. He will call these ""relatively wealthy households."" These households should be concerned with how their saving decisions will impact the levels of their Medicare premiums in their retirement years. He explains how the 2019 MAGI level affects monthly Medicare premiums in 2021 for a married couple.","Reichenstein, William, PhD CFA",1,1,2,1,3,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21-Dec,2021
JFP,Credits,,Anonymous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21-Dec,2021
JFP,Establishing Financial Self-efficacy Among African American Students,"A financial literacy gap exists between African American students and their White peers. According to Huston (2010), financial literacy comprises three components: objective financial knowledge (knowledge of financial facts), financial management (experience), and financial self-efficacy (confidence). This study looked at the interaction of these three components to better understand how financial literacy develops for African American college students in comparison to their peers. The findings suggest that for African American students, objective financial knowledge is not directly or indirectly associated with financial self-efficacy; only financial management is effective to establish financial self-efficacy. For their non-African American peers, both financial knowledge and financial management play a role in developing self-efficacy. Financial practitioners and educators can use these findings to create culturally responsive financial education programs to help increase financial self-efficacy and close the financial literacy gap between African American college students and their peers. Current and future financial education curricula should focus not only on how individuals perform financial management behaviors but also how to help increase a person's financial self-efficacy. This study highlights the importance of offering a variety of financial education instructional methods to make targeted financial outcomes accessible to a broader and more diverse range of students.",Anonymous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21-Dec,2021
JFP,STAT BANK,,Anonymous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21-Dec,2021
JFP,Using Scaffolding Learning Theory as a Framework to Enhance Financial Education with Financial Planning Clients,"Financial professionals face client resistance to professional recommendations that can result in long-term effects on the outcomes of financial plans. Scaffolding Learning Theory is an effective method of teaching in various educational settings, from elementary school through college. However, financial professionals have rarely applied this theory to financial planning and literacy education. This article presents the principles of Scaffolding Learning Theory and, through a case vignette, provides an illustration of its application in both working with clients to assist in financial education, and in promoting a collaborative relationship with financial planning clients. Moreover, the case vignette elucidates differences between what clients can do with and without help, and provides a robust discussion of the benefits to financial professionals when implementing the Zone of Proximal Development concept when working with clients.","Sterbenz, Elizabeth, LMFT;Ross, Dylan L, CFP® AFC;Melton, Raylee;Smith, Jed;McCoy, Megan, PhD LMFT CFT-I;Pearson, Blain, PhD CFP®",0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,1,6,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21-Dec,2021
JFP,Next-Gen Advisers Embrace Collaboration,"McManus discusses collaboration among next-gen advisers. From listening to the advisers on the webinar, it was clear they were looking for a deeper working relationship with one another, one that could be part of an ongoing process to better use their individual skills and expertise. These advisers didn't want a networking opportunity or a referral relationship with one another--those are simple one-offs. Instead, they sought a deeper, more meaningful exchange where helping clients was the common goal. Close collaboration is worth considering for the following seven reasons: ego is low; outsourcing makes sense; and specialization is critical.","McManus, Kristine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21-Dec,2021
JFP,Good Timing,"Andrus discusses the apporach of financial planners to time management. For a profession that is still trying to assert its status as such, this time is invaluable. Clients are coming to planners with preconceived notions about whose interests they're serving and how they're compensated. Planners are developing innovative business models that let them build the practices they want. This thoughtful approach helps with big-picture planning, but finding the capacity to do everything they want to is a challenge many advisers face in their careers. In some cases, doing so might not involve doing more, but taking a step back to do less.","Andrus, Danielle",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21-Dec,2021
JFP,"How to Have Successful Client Conversations About Finances, Health, and Memory Loss","Heye discusses how to have successful client conversations about finances, health, and memory loss. Tips include letting the client understand the difficult nature of the subject, asking open-ended questions, and talking about the consequences of not talking. There may come a time when you need more help, either from colleagues, other client family members, or professional specialists. If the situation warrants it, strive to build a team that can share the responsibilities. ""A really good suggestion,"" says Hallowell, ""is to follow one of my basic rules and never worry alone.""","Heye, Chris, PhD",0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,4,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21-Dec,2021
JFP,"To Reduce the Risk of Retirement Portfolio Exhaustion, Include Home Equity as a Non-Correlated Asset in the Portfolio","Financial planners have long regarded diversification and asset allocation as essential tools for reducing portfolio risk for their clients. This is especially true for retired clients who regularly draw on their portfolios for income. Another essential tool for risk reduction, but one not adequately recognized by financial planners, is the inclusion of home equity in the retirement portfolio, as an asset along with, and similar to, investment securities. An essential aspect of the inclusion of home equity in the portfolio is a withdrawal strategy that, in a disciplined way, uses that asset. The inclusion of home equity as an asset in the portfolio is notional; the equity serves as a source of retirement income just like the other assets in the portfolio, according to the algorithm described herein; but there is no transfer of ownership, control, or management of the home. This paper consolidates the results of several previously presented research papers and recasts them into a novel approach to the meaning of ""risk"" for certain retirees. These retirees are those whose primary source of retirement income is a securities portfolio; typically, but not necessarily, a 401(k) account or a rollover IRA. This paper is primarily an instructional vehicle, both to help financial service professionals better understand this vital concept of risk reduction and to help them better educate their colleagues and their clients about the concept. Financial planners who have clients approaching, or having recently entered, retirement, should revise their understanding of how to view the volatility of securities portfolios. For clients who are mid-career and are building wealth (i.e., not distributing from their portfolios), short-term volatility generally does not present a significant risk. By contrast, for clients who are retired and are distributing primarily from a securities portfolio for their normal living expenses, short-term volatility is risk. The adverse effects of regularly distributing from a volatile portfolio can be substantially diminished by distributions from the home equity instead of the other portfolio assets whenever determined by the algorithm described. The term ""risk"" is only meaningful if expressed in terms of a chance, a probability, of a specific event adverse to the interests or well-being of the person bearing the risk. Risk, in the context of retirement, means the probability of cash flow exhaustion or the probability of a required significant reduction in lifestyle or spending level. The probability of such an event is the measure of the risk about which this paper is concerned. Examples are presented to Illustrate the use of home equity as a component of the portfolio to Increase the percentage of Initial distribution from the securities In the portfolio to a level substantially above the traditional 4 percent and still retain an acceptably low risk of cash flow exhaustion. Financial planners who act In a fiduciary capacity should recognize the utility of the added diversification resulting from the inclusion of home equity In retirees' portfolios, and should Include this asset In fulfillment of their fiduciary duty of diversification of Investments In order to reduce risk.","Walker, Philip;Sacks, Barry H, PhD JD;Sacks, Stephen R, PhD",0,0,0,0,0,0,1,1,5,1,6,1,0,0,6,1,6,1,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,21-Dec,2021
