Title,Abstract,Authors,documentType,pub_month,pub_year,pubtitle,subjectTerms,Database
Seeking Nirvana Amidst Chaos,"Buddhism teaches that the only constant in life is change. The last year is a testament to that. Despite how well some people felt they had everything in order, the pandemic showed us that you need to always be ready for disruptions. That alone has changed the entire nature of work for many, including financial planners. There are many challenges, and opportunities, that financial planners will face going forward, and embracing technology will play a central role. A demographic shift is coming as Millennials, born between 1981 and 1996, are rapidly becoming the generation to focus on. Today, Millennials range from ages 25 to 40. There has been a sharp rise of fee-only advisers, and for good reason. There is a poignant distrust of the financial industry as Millennials have lived through two ""once-in-a-lifetime"" recessions.","Cummings, Bridger", Feature,Dec,2021,Journal of Financial Planning," Millennials , Financial planners , Financial planning",ProQuest One Academic
Tax Considerations for Relatively Wealthy Households,"Reichenstein talks about households whose income places them beyond the end of the tax torpedo, which is where they pay taxes on 85 percent of their Social Security benefits, which is the maximum. He will call these ""relatively wealthy households."" These households should be concerned with how their saving decisions will impact the levels of their Medicare premiums in their retirement years. He explains how the 2019 MAGI level affects monthly Medicare premiums in 2021 for a married couple.","Reichenstein, William, PhD CFA", Commentary,Dec,2021,Journal of Financial Planning," Households , Income taxes , Medicare",ProQuest One Academic
Credits,,Anonymous, Credits,Dec,2021,Journal of Financial Planning,,ProQuest One Academic
Establishing Financial Self-efficacy Among African American Students,"A financial literacy gap exists between African American students and their White peers. According to Huston (2010), financial literacy comprises three components: objective financial knowledge (knowledge of financial facts), financial management (experience), and financial self-efficacy (confidence). This study looked at the interaction of these three components to better understand how financial literacy develops for African American college students in comparison to their peers. The findings suggest that for African American students, objective financial knowledge is not directly or indirectly associated with financial self-efficacy; only financial management is effective to establish financial self-efficacy. For their non-African American peers, both financial knowledge and financial management play a role in developing self-efficacy. Financial practitioners and educators can use these findings to create culturally responsive financial education programs to help increase financial self-efficacy and close the financial literacy gap between African American college students and their peers. Current and future financial education curricula should focus not only on how individuals perform financial management behaviors but also how to help increase a person's financial self-efficacy. This study highlights the importance of offering a variety of financial education instructional methods to make targeted financial outcomes accessible to a broader and more diverse range of students.",Anonymous, Feature,Dec,2021,Journal of Financial Planning," African Americans , Financial literacy , Financial management",ProQuest One Academic
STAT BANK,,Anonymous, General Information,Dec,2021,Journal of Financial Planning,,ProQuest One Academic
Using Scaffolding Learning Theory as a Framework to Enhance Financial Education with Financial Planning Clients,"Financial professionals face client resistance to professional recommendations that can result in long-term effects on the outcomes of financial plans. Scaffolding Learning Theory is an effective method of teaching in various educational settings, from elementary school through college. However, financial professionals have rarely applied this theory to financial planning and literacy education. This article presents the principles of Scaffolding Learning Theory and, through a case vignette, provides an illustration of its application in both working with clients to assist in financial education, and in promoting a collaborative relationship with financial planning clients. Moreover, the case vignette elucidates differences between what clients can do with and without help, and provides a robust discussion of the benefits to financial professionals when implementing the Zone of Proximal Development concept when working with clients.","Sterbenz, Elizabeth, LMFT;Ross, Dylan L, CFP® AFC;Melton, Raylee;Smith, Jed;McCoy, Megan, PhD LMFT CFT-I;Pearson, Blain, PhD CFP®", Feature,Dec,2021,Journal of Financial Planning," Financial planning , Theory , Methods",ProQuest One Academic
Next-Gen Advisers Embrace Collaboration,"McManus discusses collaboration among next-gen advisers. From listening to the advisers on the webinar, it was clear they were looking for a deeper working relationship with one another, one that could be part of an ongoing process to better use their individual skills and expertise. These advisers didn't want a networking opportunity or a referral relationship with one another--those are simple one-offs. Instead, they sought a deeper, more meaningful exchange where helping clients was the common goal. Close collaboration is worth considering for the following seven reasons: ego is low; outsourcing makes sense; and specialization is critical.","McManus, Kristine", Commentary,Dec,2021,Journal of Financial Planning," Collaboration , Financial planners , Specialization",ProQuest One Academic
Good Timing,"Andrus discusses the apporach of financial planners to time management. For a profession that is still trying to assert its status as such, this time is invaluable. Clients are coming to planners with preconceived notions about whose interests they're serving and how they're compensated. Planners are developing innovative business models that let them build the practices they want. This thoughtful approach helps with big-picture planning, but finding the capacity to do everything they want to is a challenge many advisers face in their careers. In some cases, doing so might not involve doing more, but taking a step back to do less.","Andrus, Danielle", Editorial,Dec,2021,Journal of Financial Planning," Financial planners , Time management",ProQuest One Academic
"How to Have Successful Client Conversations About Finances, Health, and Memory Loss","Heye discusses how to have successful client conversations about finances, health, and memory loss. Tips include letting the client understand the difficult nature of the subject, asking open-ended questions, and talking about the consequences of not talking. There may come a time when you need more help, either from colleagues, other client family members, or professional specialists. If the situation warrants it, strive to build a team that can share the responsibilities. ""A really good suggestion,"" says Hallowell, ""is to follow one of my basic rules and never worry alone.""","Heye, Chris, PhD", Commentary,Dec,2021,Journal of Financial Planning," Financial planning , Health , Client relationships",ProQuest One Academic
"To Reduce the Risk of Retirement Portfolio Exhaustion, Include Home Equity as a Non-Correlated Asset in the Portfolio","Financial planners have long regarded diversification and asset allocation as essential tools for reducing portfolio risk for their clients. This is especially true for retired clients who regularly draw on their portfolios for income. Another essential tool for risk reduction, but one not adequately recognized by financial planners, is the inclusion of home equity in the retirement portfolio, as an asset along with, and similar to, investment securities. An essential aspect of the inclusion of home equity in the portfolio is a withdrawal strategy that, in a disciplined way, uses that asset. The inclusion of home equity as an asset in the portfolio is notional; the equity serves as a source of retirement income just like the other assets in the portfolio, according to the algorithm described herein; but there is no transfer of ownership, control, or management of the home. This paper consolidates the results of several previously presented research papers and recasts them into a novel approach to the meaning of ""risk"" for certain retirees. These retirees are those whose primary source of retirement income is a securities portfolio; typically, but not necessarily, a 401(k) account or a rollover IRA. This paper is primarily an instructional vehicle, both to help financial service professionals better understand this vital concept of risk reduction and to help them better educate their colleagues and their clients about the concept. Financial planners who have clients approaching, or having recently entered, retirement, should revise their understanding of how to view the volatility of securities portfolios. For clients who are mid-career and are building wealth (i.e., not distributing from their portfolios), short-term volatility generally does not present a significant risk. By contrast, for clients who are retired and are distributing primarily from a securities portfolio for their normal living expenses, short-term volatility is risk. The adverse effects of regularly distributing from a volatile portfolio can be substantially diminished by distributions from the home equity instead of the other portfolio assets whenever determined by the algorithm described. The term ""risk"" is only meaningful if expressed in terms of a chance, a probability, of a specific event adverse to the interests or well-being of the person bearing the risk. Risk, in the context of retirement, means the probability of cash flow exhaustion or the probability of a required significant reduction in lifestyle or spending level. The probability of such an event is the measure of the risk about which this paper is concerned. Examples are presented to Illustrate the use of home equity as a component of the portfolio to Increase the percentage of Initial distribution from the securities In the portfolio to a level substantially above the traditional 4 percent and still retain an acceptably low risk of cash flow exhaustion. Financial planners who act In a fiduciary capacity should recognize the utility of the added diversification resulting from the inclusion of home equity In retirees' portfolios, and should Include this asset In fulfillment of their fiduciary duty of diversification of Investments In order to reduce risk.","Walker, Philip;Sacks, Barry H, PhD JD;Sacks, Stephen R, PhD", Feature,Dec,2021,Journal of Financial Planning," Equity , Retirement planning , Portfolio management",ProQuest One Academic
My Career Path: Featuring TJ Burkett,"Burkett shares his career path. He joined the financial services industry in his mid-30s. His communications degree helped him get a job at a harness racing magazine based in Lexington KY, and then as the assistant editor of Hoof Beats Magazine, the official publication of the US Trotting Association. For 10 years, he worked his ""dream job."" Over the years, though, he recognized that the permanence of that dream job was threatened. He says that fewer horses are being bred for harness racing every year, with fewer races and fewer bets being placed.","Burkett, T J, CFP®", Commentary,Dec,2021,Journal of Financial Planning," Financial planning , Financial services",ProQuest One Academic
Evolving Client-Adviser Conversations and The Future of Advice,"Balmuth et discuss client-adviser conversations and the future of advice. Client-adviser conversations have traditionally focused on concrete information about finances, but expanding that relationship and involving a broader range of topics may address the client's financial situation more comprehensively. A strategy coined ""longevity planning"" incorporates topics such as eldercare, health, housing, home modification, encore careers, later-life entrepreneurship, and transportation into conversations between clients and advisers, with the understanding that all these topics are intimately connected to the client's finances and their well-being in retirement. They provide insights into how the financial advice industry might need to evolve to achieve the types of personalized, humanistic client-adviser relationships that are favored by clients and conducive to successful planning.","Balmuth, Alexa;Cerino, Lauren;Miller, Julie, PhD;Felts, Adam;Coughlin, Joseph F, PhD", Feature,Dec,2021,Journal of Financial Planning," Financial planners , Financial planning , Client relationships",ProQuest One Academic
Thomas Warschauer on the Future of Financial Planning,"An interview with Thomas Warschauer, Professor Emeritus, Fowler College of Business, Finance Department, San Diego State University, is presented. Warschauer talks about the most significant issues the financial planning profession is facing, changes in financial planning, and shift toward the advice and education component.",Anonymous, Interview,Dec,2021,Journal of Financial Planning," College professors , Professions , Financial planning , Warschauer, Thomas",ProQuest One Academic
The Role of Qualitative Data Gathering in Developing Client Trust and Commitment,"In 2006, Life Planning Consortium members developed and conducted the ""Survey of Specific Elements of Communication that Affect Trust and Commitment in the Financial Planning Process."" This study was among the first to provide empirical support for the critical role communication plays in effective planner-client relationships in financial planning. In consideration of changes, the MQ Research Consortium (MQRC)3 conducted a 2021 study, ""Developing and Maintaining Trust and Commitment in a Rapidly Changing Environment,"" to evaluate the persistence of findings from the 2006 study, and gain insight into the development of successful client-planner relationships in the context of current demographic, economic, and cultural issues. Here, Anderson and Sharpe provide an overview of one segment of the 2021 study--an analysis of the effectiveness of qualitative data gathering designed to learn about clients' cultural values, personality types and traits, money attitudes and traits, and family history and family values.","Anderson, Carol;Sharpe, Deanna L, PhD CFP®", Feature,Dec,2021,Journal of Financial Planning," Trust , Qualitative research , Financial planning , Client relationships",ProQuest One Academic
"What's Your Morning Routine, and How Do You Organize Your Day?","Yerger et al share their morning routine, and how they organize their day. Yerger is up at 6:00, walk to the YMCA to lift, walk back by 7:00, do an hour of low-intensity cardio (3-4mph) on a walking desk while getting organized for the day, breakfast, shower, and travel to the office (or work from home) from 8:00 to 9:00. Roberson organize his week, starting on Sundays, where he takes 30 minutes and determine his must to-dos for the week.",Anonymous, Feature,Dec,2021,Journal of Financial Planning," Financial planners , Exercise , Time management",ProQuest One Academic
Evaluating Operational Efficiency Needs for 2022,"Spiller discusses the evaluation of operational efficiency needs for 2022. Having a strong client service and financial advice team is critical to growing a long-lasting practice. However, having a client-service-heavy firm also means that nobody is solely focused on helping the business itself run well. Even the most detailed and high-touch financial planning services fall apart without a back-office staff to focus on the business operation. This can lead to low productivity, a nosedive in profit, and a variety of other problems--including dissatisfied clients. She mentions benefits of having an operations-focused employee on the team.","Spiller, Charesse", Commentary,Dec,2021,Journal of Financial Planning," Financial planning , Client relationships , Strategic planning",ProQuest One Academic
